"縣市","統計期","業者名稱","類別","基地臺"
"屏東縣","1130331","台灣大哥大股份有限公司                                                          ","4G","1360"
"屏東縣","1130331","遠傳電信股份有限公司                                                            ","4G","1582"
"苗栗縣","1130331","中華電信股份有限公司                                                            ","4G","1407"
"苗栗縣","1130331","台灣大哥大股份有限公司                                                          ","4G","1135"
"苗栗縣","1130331","遠傳電信股份有限公司                                                            ","4G","1247"
"桃園市","1130331","中華電信股份有限公司                                                            ","4G","2208"
"桃園市","1130331","台灣大哥大股份有限公司                                                          ","4G","2788"
"桃園市","1130331","遠傳電信股份有限公司                                                            ","4G","2611"
"高雄市","1130331","中華電信股份有限公司                                                            ","4G","3670"
"高雄市","1130331","台灣大哥大股份有限公司                                                          ","4G","3502"
"高雄市","1130331","遠傳電信股份有限公司                                                            ","4G","3542"
"基隆市","1130331","中華電信股份有限公司                                                            ","4G","412"
"基隆市","1130331","台灣大哥大股份有限公司                                                          ","4G","411"
"基隆市","1130331","遠傳電信股份有限公司                                                            ","4G","503"
"連江縣","1130331","中華電信股份有限公司                                                            ","4G","122"
"連江縣","1130331","台灣大哥大股份有限公司                                                          ","4G","48"
"連江縣","1130331","遠傳電信股份有限公司                                                            ","4G","51"
"雲林縣","1130331","中華電信股份有限公司                                                            ","4G","1353"
"雲林縣","1130331","台灣大哥大股份有限公司                                                          ","4G","991"
"雲林縣","1130331","遠傳電信股份有限公司                                                            ","4G","915"
"新北市","1130331","中華電信股份有限公司                                                            ","4G","3280"
"新北市","1130331","台灣大哥大股份有限公司                                                          ","4G","4014"
"新北市","1130331","遠傳電信股份有限公司                                                            ","4G","3592"
"新竹市","1130331","中華電信股份有限公司                                                            ","4G","649"
"新竹市","1130331","台灣大哥大股份有限公司                                                          ","4G","587"
"新竹市","1130331","遠傳電信股份有限公司                                                            ","4G","690"
"新竹縣","1130331","中華電信股份有限公司                                                            ","4G","1147"
"新竹縣","1130331","台灣大哥大股份有限公司                                                          ","4G","994"
"新竹縣","1130331","遠傳電信股份有限公司                                                            ","4G","958"
"嘉義市","1130331","中華電信股份有限公司                                                            ","4G","356"
"嘉義市","1130331","台灣大哥大股份有限公司                                                          ","4G","347"
"嘉義市","1130331","遠傳電信股份有限公司                                                            ","4G","331"
"嘉義縣","1130331","中華電信股份有限公司                                                            ","4G","1088"
"嘉義縣","1130331","台灣大哥大股份有限公司                                                          ","4G","856"
"嘉義縣","1130331","遠傳電信股份有限公司                                                            ","4G","847"
"彰化縣","1130331","中華電信股份有限公司                                                            ","4G","1876"
"彰化縣","1130331","台灣大哥大股份有限公司                                                          ","4G","1584"
"彰化縣","1130331","遠傳電信股份有限公司                                                            ","4G","1500"
"臺中市","1130331","中華電信股份有限公司                                                            ","4G","4797"
"臺中市","1130331","台灣大哥大股份有限公司                                                          ","4G","4735"
"臺中市","1130331","遠傳電信股份有限公司                                                            ","4G","4553"
"臺北市","1130331","中華電信股份有限公司                                                            ","4G","3158"
"臺北市","1130331","台灣大哥大股份有限公司                                                          ","4G","3608"
"臺北市","1130331","遠傳電信股份有限公司                                                            ","4G","3583"
